Model,R² Score,MAE,RMSE
Linear Regression,0.7451799676142964,5565.292958369966,7801.141156102845
Ridge (L2),0.745260403723935,5560.887258840846,7799.909810659377
Lasso (L1),0.7408731488381168,5607.248927260055,7866.790085294033
Random Forest,0.983504615647295,570.5491722918963,1984.8266046901574
